ACL_ID,TYPE,ENTRY_TYPE,PRINCIPAL,PERMISSIONS,STATUS
1,object,owner,,"u,d,w,c",1
2,object,owner,,"u,d,w,c",1
3,object,owner,,"d,c,w,u",1
4,object,owner,,"u,d,w,c",1
5,object,owner,,"u,d,w,c",1
6,object,owner,,"d,c,w,u",1
7,object,owner,,"u,d,w,c",1
8,object,owner,,"u,d,w,c",1
9,object,owner,,"d,c,w,u",1
10,object,owner,,"u,d,w,c",1
11,object,owner,,"u,d,w,c",1
12,object,owner,,"d,c,w,u",1
13,object,owner,,"u,d,w,c",1
14,object,owner,,"u,d,w,c",1
15,object,owner,,"d,c,w,u",1
16,object,owner,,"d,c,w,u",1
17,object,owner,,"d,c,w,u",1