ACL_ID,ACL_NAME,PARENT_NAME,OWNER,DESCRIPTION
1,skos:altLabel,/elements,admin,skos:altLabel
2,skos:broader,/elements,admin,skos:braoder
3,skos:broadMatch,/elements,admin,skos:broadMatch
4,skos:closeMatch,/elements,admin,skos:closeMatch
5,skos:definition,/elements,admin,skos:definition
6,skos:editorialNote,/elements,admin,skos:editorialNote
7,skos:exactMatch,/elements,admin,skos:exactMatch
8,skos:example,/elements,admin,skos:example
9,skos:hiddenLabel,/elements,admin,skos:hiddenLabel
10,skos:narrower,/elements,admin,skos:narrower
11,skos:narrowMatch,/elements,admin,skos:narrowMatch
12,skos:notation,/elements,admin,skos:notation
13,skos:prefLabel,/elements,admin,skos:prefLabel
14,skos:related,/elements,admin,skos:related
15,skos:relatedMatch,/elements,admin,skos:relatedMatch
16,skos:scopeNote,/elements,admin,skos:scopeNote
17,owl:sameAs,/elements,admin,owl:sameAs