DATAELEM_ID,TYPE,NAMESPACE_ID,SHORT_NAME,WORKING_USER,WORKING_COPY,REG_STATUS,VERSION,USER,DATE,PARENT_NS,TOP_NS,IDENTIFIER,CHECKEDOUT_COPY_ID,VOCABULARY_ID,ALL_CONCEPTS_LEGAL,SUCCESSOR
1,CH2,1,skos:altLabel,NULL,N,Released,1,NULL,1379995792000,NULL,NULL,skos:altLabel,NULL,NULL,1,NULL
2,CH2,1,skos:broader,NULL,N,Released,1,roug,1380531312598,NULL,NULL,skos:broader,NULL,NULL,1,NULL
3,CH2,1,skos:broadMatch,NULL,N,Released,1,roug,1380531529449,NULL,NULL,skos:broadMatch,NULL,NULL,1,NULL
4,CH2,1,skos:closeMatch,NULL,N,Released,1,roug,1380530772485,NULL,NULL,skos:closeMatch,NULL,NULL,1,NULL
5,CH2,1,skos:definition,NULL,N,Released,1,NULL,1379995792000,NULL,NULL,skos:definition,NULL,NULL,1,NULL
6,CH2,1,skos:editorialNote,NULL,N,Released,1,NULL,1379995792000,NULL,NULL,skos:editorialNote,NULL,NULL,1,NULL
7,CH2,1,skos:exactMatch,NULL,N,Released,1,roug,1380529416914,NULL,NULL,skos:exactMatch,NULL,NULL,1,NULL
8,CH2,1,skos:example,NULL,N,Released,1,NULL,1379995792000,NULL,NULL,skos:example,NULL,NULL,1,NULL
9,CH2,1,skos:hiddenLabel,NULL,N,Released,1,NULL,1379995792000,NULL,NULL,skos:hiddenLabel,NULL,NULL,1,NULL
10,CH2,1,skos:narrower,NULL,N,Released,1,roug,1380531282502,NULL,NULL,skos:narrower,NULL,NULL,1,NULL
11,CH2,1,skos:narrowMatch,NULL,N,Released,1,roug,1380531636592,NULL,NULL,skos:narrowMatch,NULL,NULL,1,NULL
12,CH2,1,skos:notation,NULL,N,Released,1,roug,1380531023196,NULL,NULL,skos:notation,NULL,NULL,1,NULL
13,CH2,1,skos:prefLabel,NULL,N,Released,1,NULL,1379995792000,NULL,NULL,skos:prefLabel,NULL,NULL,1,NULL
14,CH2,1,skos:related,NULL,N,Released,1,roug,1380531392924,NULL,NULL,skos:related,NULL,NULL,1,NULL
15,CH2,1,skos:relatedMatch,NULL,N,Released,1,NULL,1379995792000,NULL,NULL,skos:relatedMatch,NULL,NULL,1,NULL
16,CH2,1,skos:scopeNote,NULL,N,Released,1,NULL,1379995792000,NULL,NULL,skos:scopeNote,NULL,NULL,1,NULL
17,CH2,1,owl:sameAs,NULL,N,Released,1,NULL,1379995792000,NULL,NULL,owl:sameAs,NULL,NULL,1,NULL
18,CH2,1,dct:replaces,NULL,N,Released,1,roug,1379995792000,NULL,NULL,dct:replaces,NULL,NULL,1,NULL
19,CH2,1,dct:isReplacedBy,NULL,N,Released,1,roug,1379995792000,NULL,NULL,dct:replaces,NULL,NULL,1,NULL